id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze
SS-ROM-0083,Viale Parioli,Parioli,rosso,4,arteria trafficata 4 corsie con tratto ciclabile parziale,si,4,no,1
SS-ROM-0084,Viale Liegi,Parioli,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0085,Viale Gorizia,Parioli,rosso,4,arteria trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0086,Viale Eritrea,Parioli,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0087,Via Salaria (tratto urbano),Salario,rosso,4,arteria radiale trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0088,Viale delle Belle Arti,Flaminio,verde-giallo,2,ciclabile presente sul marciapiede ma inadeguata,si,4,no,1
SS-ROM-0089,Lungotevere Flaminio,Flaminio,verde-giallo,2,ciclabile sul marciapiede inadeguata e discontinua,si,4,no,1
SS-ROM-0090,Lungotevere Arnaldo da Brescia,Flaminio,nero,5,4 corsie veloci nessuna protezione,no,4,no,1
SS-ROM-0091,Lungotevere Maresciallo Diaz,Prati/Flaminio,nero,5,4 corsie veloci nessuna protezione,no,4,no,1
SS-ROM-0092,Via Flaminia (tratto urbano),Flaminio,rosso,4,arteria radiale trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0093,Viale Tiziano,Flaminio,rosso,4,arteria sportiva trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0094,Viale Maresciallo Pilsudski,Parioli,rosso,4,arteria trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0095,Via Po,Salario,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,1
SS-ROM-0096,Via Tagliamento,Salario,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,1
SS-ROM-0097,Via Nomentana (tratto Mun II),Nomentano,rosso,4,arteria radiale trafficata,no,4,no,1
SS-ROM-0098,Corso Trieste,Trieste,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0099,Via Tevere,Salario,giallo,3,strada urbana 2 corsie traffico contenuto,no,2,no,1
SS-ROM-0100,Via Brenta,Salario,giallo,3,strada urbana traffico contenuto,no,2,no,1
SS-ROM-0101,Via Adige,Salario,giallo,3,strada urbana senso unico traffico contenuto,no,1,si,1
SS-ROM-0102,Via Arno,Salario,giallo,3,senso unico residenziale traffico contenuto,no,1,si,1
SS-ROM-0103,Via Sebino,Salario,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0104,Via Lario,Salario,giallo,3,senso unico residenziale,no,1,si,1
