id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze
SS-ROM-0137,Viale Jonio,Montesacro,rosso,4,arteria principale Montesacro 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0138,Via Nomentana (tratto con ciclabile),Montesacro,verde,1,ciclabile presente su tratto specifico,si,4,no,2
SS-ROM-0139,Via Nomentana (tratto senza ciclabile),Tufello/Val Melaina,rosso,4,arteria trafficata tratto senza ciclabile,no,4,no,1
SS-ROM-0140,Via Salaria (tratto Mun III),Fidene,rosso,4,arteria radiale trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0141,Via dei Prati Fiscali,Tufello,verde,1,pista ciclabile presente,si,2,no,2
SS-ROM-0142,Via Ugo Ojetti,Montesacro,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0143,Via Val Melaina,Val Melaina,rosso,4,arteria trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0144,Via Capraia,Tufello,giallo,3,strada residenziale traffico contenuto,no,2,no,1
SS-ROM-0145,Via Grotte di Gregna,Val Melaina,giallo,3,strada residenziale senso unico,no,1,si,1
SS-ROM-0146,Via Amatrice,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0147,Via Contigliano,Tufello,giallo,3,senso unico residenziale traffico contenuto,no,1,si,1
SS-ROM-0148,Via Monterotondo,Montesacro,giallo,3,strada urbana traffico contenuto,no,2,no,1
SS-ROM-0149,Via Passo Corese,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0150,Via Monte Cervialto,Montesacro,giallo,3,strada residenziale tranquilla,no,2,no,1
SS-ROM-0151,Via Monte Giberto,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0152,Via Monte Ruggero,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0153,Via Monte Cervino,Montesacro,giallo,3,strada residenziale traffico contenuto,no,2,no,1
SS-ROM-0154,Via Monte Velino,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0155,Via Arseoli,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0156,Via Cures Sabini,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0157,Via Cantalupo Sabino,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0158,Via Farfa,Montesacro,giallo,3,strada residenziale tranquilla,no,2,no,1
SS-ROM-0159,Via Poggio Mirteto,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0160,Via Leonzio Pilato,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0161,Via Conca d'Oro,Tufello,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,1
SS-ROM-0162,Via Cagliari,Tufello,giallo,3,strada urbana traffico contenuto,no,2,no,1
SS-ROM-0163,Via Palermo,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0164,Via Catanzaro,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0165,Via Potenza,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0166,Via Reggio Emilia,Tufello,giallo,3,strada urbana traffico contenuto,no,2,no,1
SS-ROM-0167,Via Vibo Valentia,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0168,Via Lodi,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0169,Via Cremona,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0170,Via Brescia,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0171,Via Mantova,Tufello,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0172,Via dei Monti Tiburtini,Fidene,rosso,4,arteria trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0173,Via Fidene,Fidene,giallo,3,strada urbana periferica traffico contenuto,no,2,no,1
SS-ROM-0174,Via Castel Giubileo,Fidene,giallo,3,strada periferica traffico contenuto,no,2,no,1
SS-ROM-0175,Via Settebagni,Settebagni,giallo,3,strada periferica traffico limitato,no,2,no,1
SS-ROM-0176,Via di Casal Boccone,Val Melaina,giallo,3,strada periferica residenziale,no,2,no,1
SS-ROM-0177,Via Sacco Pastore,Tufello,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,1
SS-ROM-0178,Viale Adriatico,Montesacro,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0179,Viale Tirreno,Montesacro,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0180,Via Arlanda,Montesacro,giallo,3,strada residenziale tranquilla,no,2,no,1
SS-ROM-0181,Via Gargano,Montesacro,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0182,Via del Casale di San Basilio,Val Melaina,giallo,3,strada periferica traffico limitato,no,2,no,1
SS-ROM-0183,Parco delle Sabine (percorsi),Montesacro,verde-blu,1,area verde bike friendly con pedoni,si,0,no,1
